año,mes,Fecha,Toneladas recogidas
2022,enero,01/05/2022 12:00:00 AM,7.45
2022,enero,01/08/2022 12:00:00 AM,6.28
2022,enero,01/12/2022 12:00:00 AM,6.62
2022,enero,01/15/2022 12:00:00 AM,4.44
2022,enero,01/19/2022 12:00:00 AM,6.64
2022,enero,01/22/2022 12:00:00 AM,4.84
2022,enero,01/26/2022 12:00:00 AM,6.77
2022,enero,01/29/2022 12:00:00 AM,4.47
2022,febrero,02/02/2022 12:00:00 AM,6.61
2022,febrero,02/05/2022 12:00:00 AM,4.26
2022,febrero,02/09/2022 12:00:00 AM,6.75
2022,febrero,02/12/2022 12:00:00 AM,4.15
2022,febrero,02/16/2022 12:00:00 AM,6.21
2022,febrero,02/19/2022 12:00:00 AM,4.8
2022,febrero,02/23/2022 12:00:00 AM,6.45
2022,febrero,02/26/2022 12:00:00 AM,4.72
2022,marzo,03/02/2022 12:00:00 AM,6.77
2022,marzo,03/05/2022 12:00:00 AM,4.8
2022,marzo,03/09/2022 12:00:00 AM,5.68
2022,marzo,03/12/2022 12:00:00 AM,5.06
2022,marzo,03/16/2022 12:00:00 AM,6.79
2022,marzo,03/19/2022 12:00:00 AM,4.38
2022,marzo,03/23/2022 12:00:00 AM,6.89
2022,marzo,03/26/2022 12:00:00 AM,4.41
2022,marzo,03/30/2022 12:00:00 AM,6.51
2022,abril,04/02/2022 12:00:00 AM,5.11
2022,abril,04/06/2022 12:00:00 AM,6.44
2022,abril,04/09/2022 12:00:00 AM,4.69
2022,abril,04/13/2022 12:00:00 AM,6.98
2022,abril,04/16/2022 12:00:00 AM,4.77
2022,abril,04/21/2022 12:00:00 AM,7.71
2022,abril,04/23/2022 12:00:00 AM,4.04
2022,abril,04/27/2022 12:00:00 AM,6.57
2022,abril,04/30/2022 12:00:00 AM,4.3
2022,mayo,05/04/2022 12:00:00 AM,7.04
2022,mayo,05/07/2022 12:00:00 AM,4.61
2022,mayo,05/11/2022 12:00:00 AM,6.28
2022,mayo,05/14/2022 12:00:00 AM,4.44
2022,mayo,05/18/2022 12:00:00 AM,6.92
2022,mayo,05/21/2022 12:00:00 AM,4.93
2022,mayo,05/25/2022 12:00:00 AM,6.44
2022,mayo,05/28/2022 12:00:00 AM,4.36
2022,junio,06/01/2022 12:00:00 AM,6.93
2022,junio,06/04/2022 12:00:00 AM,4.74
2022,junio,06/08/2022 12:00:00 AM,6.47
2022,junio,06/11/2022 12:00:00 AM,4.45
2022,junio,06/15/2022 12:00:00 AM,6.59
2022,junio,06/18/2022 12:00:00 AM,4.42
2022,junio,06/22/2022 12:00:00 AM,6.36
2022,junio,06/25/2022 12:00:00 AM,3.91
2022,junio,06/29/2022 12:00:00 AM,6.57
